year;flag_code;flag_code_iso_3;ocean_code;school_type_code;parameter_a;parameter_b;null_set_value
2019;1;ITA;2;2;0.488;117.164;91.5
2020;1;ITA;2;2;0.488;117.164;91.5
2021;1;ITA;2;2;0.488;117.164;91.5
2022;1;ITA;2;2;0.488;117.164;91.5
2023;1;ITA;2;2;0.488;117.164;91.5
2024;1;ITA;2;2;0.488;117.164;91.5
1998;1;ITA;2;3;0.655;128.526;105
1999;1;ITA;2;3;0.655;128.526;105
2000;1;ITA;2;3;0.405;152.048;93
2001;1;ITA;2;3;0.405;152.048;93
2002;1;ITA;2;3;0.405;152.048;93
2003;1;ITA;2;3;0.405;152.048;93
2004;1;ITA;2;3;0.405;152.048;93
2005;1;ITA;2;3;0.488;117.164;91.5
2006;1;ITA;2;3;0.488;117.164;91.5
2007;1;ITA;2;3;0.488;117.164;91.5
2008;1;ITA;2;3;0.488;117.164;91.5
2009;1;ITA;2;3;0.488;117.164;91.5
2010;1;ITA;2;3;0.488;117.164;91.5
2011;1;ITA;2;3;0.488;117.164;91.5
2012;1;ITA;2;3;0.488;117.164;91.5
2013;1;ITA;2;3;0.488;117.164;91.5
2014;1;ITA;2;3;0.488;117.164;91.5
2015;1;ITA;2;3;0.488;117.164;91.5
2016;1;ITA;2;3;0.488;117.164;91.5
2017;1;ITA;2;3;0.488;117.164;91.5
2018;1;ITA;2;3;0.488;117.164;91.5
2019;1;ITA;2;3;0.488;117.164;91.5
2020;1;ITA;2;3;0.488;117.164;91.5
2021;1;ITA;2;3;0.56406;141.223;133.1
2022;1;ITA;2;3;0.56406;141.223;133.1
